POS Product Type,POS Product ID,POS Product Name,POS Product Status,POS Product Group ID,POS Product Group Name,Product ID,Product Name,Product Status,Action Type
generic,V. PRUNE,V. Mirabelle,disabled,,,e68e2a61-7ab5-471a-9869-73b901b2c336,V. PRUNE,disabled,increase
generic,B. GEVREY-CHAMBERTIN VIEL VIGNES BISSEY,B. GEVREY-CHAMBERTIN VIEL VIGNES BISSEY,disabled,,,6488cc0f-5c59-4343-8aa1-e49e72b226cc,"B. BOURGOGNE GEVREY-CHAMBERTIN ""Vieilles Vignes"" DOM. BRUNO DESAUNAY-BISSEY RGE 75CL",enabled,increase
generic,B. CLASE AZUL REPOSADO,B. CLASE AZUL REPOSADO,disabled,,,dcfaf3a0-1df9-4127-87d9-30ccfea9c8b7,CLASE AZUL REPOSADO,enabled,increase
generic,V. TENTATIONS CLOS CIBONNE,V. TENTATIONS CLOS CIBONNE,enabled,,,131bfcc5-66e7-4460-ada1-67004a103eba,V. CAMPAUX CANISSONS BLC,enabled,increase
generic,PAVE DE CABILLAUD,PAVE DE CABILLAUD,disabled,,,,,,none
generic,GRATIN PDT,GRATIN PDT,disabled,,,,,,none
generic,B. CH NEUF-DU-PAPE LES SINARDS BLC,B. CH NEUF-DU-PAPE LES SINARDS BLC,enabled,,,d546bf07-68ad-4c20-a40b-8693877912ad,"B. CHATEAUNEUF-DU-PAPE ""Les Sinards"" FAMILLE PERRIN BLC 75CL",enabled,increase
generic,DEMI AFFLIGEM,DEMI AFFLIGEM,enabled,,,8b33e394-e6e0-4f94-8ebb-97bab3353f29,DEMI AFFLIGEM BLANCHE,enabled,increase
generic,V. SYRAHVISSANTE RGE,V. SYRAHVISSANTE RGE,disabled,,,6661ed20-2687-4a8d-8058-1d7337574cd2,V. SYRAHVISSANTE RGE ORMEAU,enabled,increase
generic,SHOT CHARTREUSE JAUNE,SHOT CHARTREUSE JAUNE,enabled,,,af0ec3e9-d55a-477f-a5e4-0c9d0550cc3c,S. CHARTREUSE JAUNE 3CL,enabled,increase
generic,B. DOM. RICHAUD CAIRANNE BLC,B. DOM. RICHAUD CAIRANNE BLC,disabled,,,ef15720c-4b68-4e6f-be60-888b1eac6697,B._ Cairanne_ Domaine Richaud_BLC_75CL,enabled,increase
generic,B. ST JOSEPH DOM BERNARD GRIPPA RGE,B. ST JOSEPH DOM BERNARD GRIPPA RGE,enabled,,,b33f3fd5-eded-49b2-9ade-202b76351210,"B._Saint-Joseph_""Le Berceau"", Domaine Bernard Grippa_RGE_75CL",enabled,increase
generic,CAIPIRINHA FRUIT,CAIPIRINHA FRUIT,disabled,,,2b360eaf-700a-44fe-a8f4-8696ca0b51f1,CAIPIRINHA FRUIT,enabled,increase
generic,V. LYS DES SABLES 2024,V. LYS DES SABLES 2024,enabled,,,8c75610f-df02-4cba-855a-3f7125690da5,V. LYS DES SABLES,enabled,increase
generic,ENTRECÔTE 250GR,ENTRECÔTE 250GR,enabled,,,,,,none
generic,V. SIROP MENTHE,V. SIROP MENTHE,disabled,,,e5146373-2408-41cb-bb00-23ca5043b5d9,SIROP. MENTHE,enabled,increase
generic,ROSSINI,ROSSINI,disabled,,,4cb419b0-a527-4377-90da-0046373587d5,ROSSINI,enabled,increase
generic,CAMEMBERT ROTI,CAMEMBERT ROTI,disabled,,,,,,none
generic,B.SAINT GERMAIN,B.SAINT GERMAIN,enabled,,,87171446-5d0a-4f42-b557-9241ed435cad,B. SAINT GERMAIN 70CL,enabled,increase
generic,B. CORONA,B. CORONA,enabled,,,27f42cc6-3328-49a0-942b-d58a868586f3,"B. CORONA 33 CL VP 4,5°",enabled,increase
generic,TARTE TROPEZIENNE,TARTE TROPEZIENNE,disabled,,,,,,none
generic,B. CHAMBERTIN G. CRU ARNAUD MORTET RGE,B. CHAMBERTIN G. CRU ARNAUD MORTET RGE,enabled,,,4cd13115-c2c7-4fd8-9794-908c8e9c4d53,B._ Mazoyères-Chambertin Grand Cru_ Domaine Arnaud Mortet_RGE_75Cl,enabled,increase
generic,B. CHATEAU DE BACCHUS BLC,B. CHATEAU DE BACCHUS BLC,enabled,,,f075a541-6e16-4188-b49a-507b1a2c27ab,"B._Ventoux_""Château de Bacchus"", Claret Tournier_BLC_75CL",enabled,increase
generic,B. DOM. CHINON CUISINE DE MA MERE RGE,B. DOM. CHINON CUISINE DE MA MERE RGE,disabled,,,a3ea622a-302c-485a-8ead-02d1fa4e5058,"B._ Chinon_ ""Cuisine de ma Mère"", Domaine Grosbois_RGE_75CL",enabled,increase
generic,1/2 B. CH MINUTY PRESTIGE RSE,1/2 B. CH MINUTY PRESTIGE RSE,enabled,,,641cbdf3-cb0a-4f34-9ba1-ef3525c52f87,"1/2. B. PROVENCE CH. MINUTY ""PRESTIGE"" RSE 50CL",enabled,increase
generic,PDJ SUPREME DE VOLAILLE,PDJ SUPREME DE VOLAILLE,disabled,,,,,,
generic,TOURTEAUX,TOURTEAUX,disabled,,,,,,none
generic,OLD FASHIONED,OLD FASHIONED,enabled,,,36ab8007-c58d-4b95-838a-ce078eef4f92,OLD FASHIONNED BULLEIT,enabled,increase
generic,CARRE D'AGNEAU,CARRE D'AGNEAU,enabled,,,,,,none
generic,BOULE DE GLACE,BOULE DE GLACE,enabled,,,,,,none
generic,DIVERS LIBRAIRIE,DIVERS LIBRAIRIE,enabled,,,,,,none
generic,B. CH. MARRES PRESTIGE BLC,B. CH. MARRES PRESTIGE BLC,disabled,,,d77f4a93-3278-4c18-a232-e6a938a82c88,"B._ Côtes-de-Provence_ ""Prestige"", Château des Marres_BLC_75CL",enabled,increase
generic,B. ROUPIT COTE DE BDX RGE,B. ROUPIT COTE DE BDX RGE,disabled,,,9b1923ff-913c-43e6-a04a-4cfbe8f0c53f,B. BLAYE COTES DE BORDEAUX ROUPIT RGE 75CL,enabled,increase
generic,B. DOM. LA MAIONETTE RGE,B. DOM. LA MAIONETTE RGE,disabled,,,36c2f534-2cb3-483b-a461-c2c58316b227,B. PROVENCE IGP MEDITERRANEE DOM. DE LA MAIONETTE RGE 75CL,enabled,increase
generic,B. TERRASSE DU LARZAC RGE,B. TERRASSE DU LARZAC RGE,disabled,,,b396c0e6-538d-4521-9d92-d99dd2cbc821,"B. LANGUEDOC TERRASSE DU LARZAC ""Clas Mani"" CASSAGNE & VITAILLES RGE 75CL",enabled,increase
generic,B. VOLNAY CLOS DU VERSEUIL CLERGET,B. VOLNAY CLOS DU VERSEUIL CLERGET,enabled,,,fc95b8a8-eea6-4e6f-bf45-dc694f94105d,"B._ Volnay 1 er cru_ ""Clos du Verseuil"", Domaine Y.Clerget_RGE_75CL",enabled,increase
generic,S. DON JULIO 1942 TEQUILA,S. DON JULIO 1942,disabled,,,84089c99-1171-444f-924c-cce4c3c358ec,S. DON JULIO 1942 3CL,enabled,increase
generic,BOULE,BOULE,disabled,,,,,,none
generic,V. Roulot,V. Roulot,enabled,,,97372655-6db7-468d-8525-2ca0d1e8ddf4,V. LIQUEUR ABRICOT JEAN MARC ROULOT,enabled,increase
generic,MOULES GRATINEES,MOULES GRATINEES,disabled,,,,,,none
generic,HOUSE LEMONADE,HOUSE LEMONADE,disabled,,,,,,none
generic,OLD FASHIONNED,OLD FASHIONNED,disabled,,,36ab8007-c58d-4b95-838a-ce078eef4f92,OLD FASHIONNED BULLEIT,enabled,increase
generic,B. RED BULL,B. RED BULL,enabled,,,409b5cac-d375-49f0-aa36-105c05ef545a,B. RED BULL,enabled,increase
generic,1/2 B. CH DES MARRES PRESTIGE BLC,1/2 B. CH DES MARRES PRESTIGE BLC,enabled,,,47c58d0f-3720-43b7-bdd8-e7401d854e83,"1/2. B. PROVENCE CHATEAU DES MARRES ""Prestige"" BLC 50CL",enabled,increase
generic,TI PUNCH,TI PUNCH,disabled,,,946e072d-e8ca-4d4d-bda8-5eeb6b1f9948,TI PUNCH ORMEAU,enabled,increase
generic,FRAISE BASILIC,FRAISE BASILIC,disabled,,,,,,none
generic,V. CHARTREUSE VERT VEP,V. CHARTREUSE VERT VEP,disabled,,,c56c4aee-9a63-4f88-a178-d9b1e6b5b128,V. CHARTREUSE VEP,enabled,increase
generic,B. EAU DE ROSEE FONDUGUES RSE,B. EAU DE ROSEE FONDUGUES RSE,enabled,,,6d155703-2195-4d0c-8fd4-c65755848860,"B._ Vin de France, Provence_ ""Eau de Rosée"", Fondugues-Pradugues_ RSE_75CL",enabled,increase
generic,B. VDF LES HOMS CASSAGNE & VITAILLES RGE,B. VDF LES HOMS CASSAGNE & VITAILLES RGE,disabled,,,ea1af4cb-5a08-4900-902a-7a470d934390,"B. LANGUEDOC TERRASSE DU LARZAC ""Les Homs"" CASSAGNE & VITAILLES RGE 75CL",enabled,increase
generic,B. COTES DU RHONES VILLAGE RGE,B. COTES DU RHONES VILLAGE RGE,disabled,,,bab1876b-518e-498a-892d-76aabff11bfd,"B._ Côtes du Rhône_ ""Réserve"", Famille Perrin_RGE_75CL",enabled,increase
generic,FILET DE ST-PIERRE,FILET DE ST-PIERRE,enabled,,,,,,none
generic,V. NIKKA,V. NIKKA,enabled,,,44bb56a7-b616-4d85-939c-dd488520aaf0,V. NIKKA,enabled,increase
generic,DEMI PICON,DEMI PICON,enabled,,,9d713e4f-9a8e-45e0-8a14-675d65778fb0,DEMI PICON BIERE,enabled,increase
generic,SUCRINES,SUCRINES,disabled,,,,,,none
generic,DECA,DECA,disabled,,,7f8639a8-dc72-4100-a648-8ae67ef06cde,DK ORMEAU,enabled,increase
generic,LIMONADE CITRON,LIMONADE CITRON,disabled,,,,,,none
generic,V. SIROP A L'EAU,V. SIROP A L'EAU,enabled,,,,,,none
generic,JACOULOT VERVEINE,JACOULOT VERVEINE,enabled,,,25c8db72-1368-4f54-86d3-aad4049ee39d,V. LIQUEUR VERVEINE VERTE,enabled,increase
generic,SHOT ABSOLUT,SHOT ABSOLUT,enabled,,,ceaff98c-cd31-4320-b779-bbb89a43daa1,S. WYBOROWA ORMEAU,disabled,increase
generic,B. DOM K. DESCOMBES BEAUJOLAIS RGE,B. DOM K. DESCOMBES BEAUJOLAIS RGE,enabled,,,cbfca072-dcc8-49d6-8e90-93feecf00bb4,B. BEAUJOLAIS VIN NATURE VILLAGE DOM. DESCOMBES K. RGE 75CL,enabled,increase
generic,DOUBLE DECA,DOUBLE DECA,disabled,,,6de1a941-fb00-4569-8a37-ec71822093d8,DK DOUBLE ORMEAU,enabled,increase
generic,TARTARE DE BOEUF,TARTARE DE BOEUF,enabled,,,,,,none
generic,BELLINI,BELLINI,enabled,,,f3734594-fc0a-47a7-bc6f-8bb282e4e2f7,BELLINI,enabled,increase
generic,FRUITS FRAIS,FRUITS FRAIS,disabled,,,,,,none
generic,B. BANDOL D. DE LA TOUR RGE,B. BANDOL D. DE LA TOUR RGE,disabled,,,25e28d58-7d8d-4955-a98e-5e67a8e8f070,B. BANDOL DOM. DE LA TOUR DU BON RGE 75CL,enabled,increase
generic,MENU 25 EUROS,MENU 25 EUROS,disabled,,,,,,none
generic,B. SAINT EMILION CH MANGOT RGE,B. SAINT EMILION CH MANGOT RGE,enabled,,,8977fabb-b5bf-4f01-9f87-7463406d5264,B._Saint-Emilion Grand Cru_Château Mangot_RGE_75CL,enabled,increase
generic,FARIGOULE,FARIGOULE,enabled,,,33282c65-b760-4241-91ba-d0ab6e657a67,V. LIQUEUR FARIGOULETTE,enabled,increase
generic,V. ANJOU BLANC,V. ANJOU BLANC,enabled,,,ef3ea838-0189-4da3-b2db-f5611fe31b76,V. ANJOU BLC,enabled,increase
generic,ACC. PERRIER,ACC. PERRIER,enabled,,,7bd34663-f631-4078-8410-db7e7e3b2eda,B. BADOIT ROUGE VP 33CL,enabled,increase
generic,SUP. GINGER BEER,SUP. GINGER BEER,disabled,,,db0db767-0ae0-4322-b0bd-f9b98f7d20b3,SUP. GINGER BEER ORMEAU,enabled,increase
generic,V. DOM DE LA ROUILLERE,V. DOM DE LA ROUILLERE RSE,enabled,,,bf2a688d-bce2-4184-9015-68d8174ce699,V. ROUILLERE RSE,enabled,increase
generic,JUG CITRONNADE,JUG CITRONNADE,disabled,,,,,,none
generic,B. CORTON-CHARLEMAGNE GR.CRU JOILLOT BLC,B. CORTON-CHARLEMAGNE GR.CRU JOILLOT BLC,enabled,,,111b541e-054b-4b8b-888b-3cc6ee62b515,B._ Corton Charlemagne Grand Cru_Domaine Georges Joillot_BLC_75CL,enabled,increase
generic,MARTINI DIRTY VODKA,MARTINI DIRTY VODKA,disabled,,,b6b84254-ab4f-4f66-b048-b559ad94189d,MARTINI DRY VODKA ORMEAU,enabled,increase
generic,B. SAUMUR-CHAMPIGNY LES COUDRAIES RGE,B. SAUMUR-CHAMPIGNY LES COUDRAIES RGE,disabled,,,84dea6c1-6092-4c1e-9726-7bb494005d27,"B._Saumur-Champigny_""Les Coudraies"", Domaine des Closiers_RGE_75CL",enabled,increase
generic,B. CH MARGAUX LE PAVILLON ROUGE,B. CH MARGAUX LE PAVILLON ROUGE,enabled,,,25050086-85c6-4a77-b044-7d07b71e58b6,"B._Margaux_""Pavillon Rouge"", Château Margaux_RGE_75CL",enabled,increase
generic,B. PJ GRAND BRUT,B. PJ GRAND BRUT,disabled,,,0acb0cb9-bd43-470b-a216-f3b32ed79b02,"B._ Perrier Jouet_""Grand Brut""_75CL",enabled,increase
generic,V. VIN MENU,V. VIN MENU,enabled,,,,,,none
generic,V. DOM. DUBOIS SAVIGNY LES BEAUNES RGE,V. DOM. DUBOIS SAVIGNY LES BEAUNES RGE,disabled,,,,,,none
generic,MAI TAI,MAI TAI,enabled,,,2dc2e914-da35-4dc7-acc9-60b15d69ef3d,MAI TAI,enabled,increase
generic,B. MENETOU SALON D. CROIX MARGOT BLC,B. MENETOU SALON D. CROIX MARGOT BLC,disabled,,,e2a4f7fe-1914-4ad6-8b22-cb59b4630958,B. LOIRE MENETOU-SALON DOM. DE LA CROIX MARGOT BLC 75CL,enabled,increase
generic,PATES TRUFFE,PATES TRUFFE,disabled,,,,,,none
generic,V. DEL MAGUEY VIDA,V. DEL MAGUEY VIDA,enabled,,,9d95feef-f001-4213-aa1e-555f430c7cd2,V. MEZCAL DEL MAGUEY VIDA,enabled,increase
generic,B. VIOGNIER D. COURBIS BLC,B. VIOGNIER D. COURBIS BLC,disabled,,,7b1424d5-4ddc-428c-ab12-88d5284f2691,B. ARDECHE VIOGNIER IGP DOM. COURBIS BLC 75CL,enabled,increase
generic,SUPP LAIT,SUPP LAIT,disabled,,,,,,none
generic,FROMAGES,FROMAGES,disabled,,,,,,none
generic,COTELETTES D'AGNEAU,COTELETTES D'AGNEAU,disabled,,,,,,none
generic,V. JUS ANANAS,V. JUS ANANAS,enabled,,,,,,none
generic,COTE DE VEAU,COTE DE VEAU,enabled,,,,,,none
generic,FRAISE,FRAISE,enabled,,,65588f43-3335-4010-ab6e-89292c1e1bb9,SIROP. FRAISE,enabled,increase
generic,B. CLOS DE VOUGEOT DOM JACQUES PRIEUR RG,B. CLOS DE VOUGEOT DOM JACQUES PRIEUR RG,enabled,,,3cba49dd-4fd6-4bcd-a043-5a9dccd4a74e,B._ Clos De Vougeot Grand Cru_ Domaine Jacques Prieur_RGE_75CL,enabled,increase
generic,COUTEAUX PERSILLADE,COUTEAUX PERSILLADE,disabled,,,,,,none
generic,RIZ,RIZ,disabled,,,,,,none
generic,B. LE GRAND BLANC DOM MILAN BLC,B. LE GRAND BLANC DOM MILAN BLC,enabled,,,7205d445-ff48-456c-b55f-16d4a6e2978b,"B._ Vin De France, Provence_ ""Le Grand Blanc"", Domaine Milan_BLC_75CL",enabled,increase
generic,CARAFE SANGRIA ROUGE,CARAFE SANGRIA ROUGE,enabled,,,7f7caafa-7157-47d7-9fb3-442d06e7817b,JUG SANGRIA ROUGE,enabled,increase
generic,BANANA,BANANA,disabled,,,,,,none
generic,LINGUINE GAMBAS,LINGUINE GAMBAS,disabled,,,,,,none
generic,B. RUINART BLC DE BLCS,B. RUINART BLC DE BLCS,disabled,,,374b48ee-ede0-400d-8462-781dff40736e,"B._ Ruinart, ""Blanc de Blancs""_75CL",enabled,increase
generic,CROQUE ORMEAU,CROQUE ORMEAU,enabled,,,,,,none
generic,KIR ROYAL,KIR ROYAL,enabled,,,1aa7ff43-b896-41a0-a3ba-32802f2fe149,KIR ROYAL,enabled,increase
generic,V. MAHANI,V. MAHANI,disabled,,,b91c7ff4-1ce4-4d15-8882-27d2f6b529b3,V. MAHANI,enabled,increase
generic,V. HENNESSY VS,V. HENNESSY VS,enabled,,,659bfb7a-7d86-4af7-8593-da2603d48180,V. HENNESSY VS,enabled,increase
generic,NOISETTE COMPTOIR,NOISETTE COMPTOIR,enabled,,,3758e5b0-77d7-4bb6-87e5-e997578a2393,CAFE ORMEAU,enabled,increase
generic,V. HENNESSY X.O,V. HENNESSY X.O,disabled,,,a209778b-4ea1-43e4-827d-2debdce29ac7,V. HENNESSY X.O,enabled,increase
generic,TAGLIATELLE TRUFFE,TAGLIATELLE TRUFFE,disabled,,,,,,none
generic,MENU GROUPE,MENU GROUPE 2,enabled,,,,,,none
generic,CAVIAR 125GR,CAVIAR 125GR,disabled,,,,,,none
generic,BASIL SMASH,BASIL SMASH,enabled,,,d5ad3135-84df-4e3a-a3d3-b8e97f2fe9da,V. GIN VERSE,enabled,increase
generic,CROISSANT,CROISSANT,enabled,,,,,,none
generic,B. CONDRIEU DOM. CHAMBEYRON BLC,B. CONDRIEU DOM. CHAMBEYRON BLC,disabled,,,6eebc454-9c0d-4938-ab7a-ec9be4fb53a9,"B._ Condrieu_ ""Vernon"", Domaine Chambeyron_BLC_75CL",enabled,increase
generic,TEE SHIRT BLANC,TEE SHIRT BLANC,enabled,,,,,,none
generic,EN VUE CITRON,EN VUE CITRON,enabled,,,757b2dca-ba42-4076-bfe5-654e7b0ddccb,V. CREME DE CITRON EN VUE,enabled,increase
generic,M. PERRIER JOUET RSE,M. PERRIER JOUET RSE,disabled,,,,,,none
generic,SUGGESTION VIANDE,SGG LE BEAU GIGOT DE PAQUES 2P,enabled,,,,,,none
generic,FROMAGE MENU,FROMAGE MENU,enabled,,,,,,none
generic,GASPACHO L'ORMEAU,GASPACHO L'ORMEAU,disabled,,,,,,none
generic,ENTRECOTE 300GR,ENTRECOTE 300GR,disabled,,,,,,none
generic,B.  LA TERASSE DELISE K YENNE BLC,B.  LA TERASSE DELISE K YENNE BLC,disabled,,,93aca6f8-b66b-4854-8c60-7875d125b000,"B. LANGUEDOC IGP DE L'HERAULT ""K Yenne"" DOM. LA TERRASSE D'ELISE BLC 75CL",enabled,increase
generic,PLANTATION PINEAPPLE,PLANTATION PINEAPPLE,enabled,,,,,,none
generic,FAUX FILET,FAUX FILET,disabled,,,,,,none
generic,MINI CROQUE A LA TRUFFE,MINI CROQUE A LA TRUFFE,disabled,,,,,,none
generic,S. SEX ON THE BEACH,S. SEX ON THE BEACH,disabled,,,a745b28a-c2c4-4d52-893f-eba506a926cf,S. SEX ON THE BEACH ORMEAU,disabled,increase
generic,RIGATONI DE BOEUF EFFILOCHE,RIGATONI DE BOEUF EFFILOCHE,enabled,,,,,,none
generic,B. POMMARD LES VIGNOTS RGE,B. POMMARD LES VIGNOTS RGE,disabled,,,e30a3b4e-e238-474c-8bff-ae1fdc649adb,"B. BOURGOGNE POMMARD ""Les Vignots"" DOM. NICOLAS ROSSIGNOL RGE 75CL",enabled,increase
generic,SUP. CHANTILLY,SUP. CHANTILLY,disabled,,,,,,none
generic,PAGO JUS DE POMME,PAGO JUS DE POMME,disabled,,,289b5d05-e811-43b6-bb4f-20e414027f3e,B. POMME CLAIRE JUS 20CL,disabled,increase
generic,V. LILLET BLANC,V. LILLET BLANC,enabled,,,4af8c907-86c3-4ab1-9a1c-dc9a23db9444,V. LILLET BLANC,enabled,increase
generic,V. SANGRIA ROUGE OR,V. SANGRIA ROUGE OR,disabled,,,1c192759-0d0c-4e82-a5a7-ef41acd4f341,V. SANGRIA ROUGE OR,enabled,increase
generic,GIGOT 4 P,GIGOT 4 P,enabled,,,,,,none
generic,CAIPIRINHA,CAIPIRINHA,disabled,,,fc48b757-a7ee-4393-aa2f-1533151c85e4,CAIPIRINHA,enabled,increase
generic,B. DOM. CLOS DE VOUGEOT GRAND CRU RGE,B. DOM. CLOS DE VOUGEOT GRAND CRU RGE,disabled,,,3cba49dd-4fd6-4bcd-a043-5a9dccd4a74e,B._ Clos De Vougeot Grand Cru_ Domaine Jacques Prieur_RGE_75CL,enabled,increase
generic,PAGO JUS TOMATE,PAGO JUS TOMATE,disabled,,,975941e8-18ee-4e75-b492-fa095e07e47d,B. TOMATE JUS 20CL,disabled,increase
generic,B. MEPHISTO DOM L'ECU RGE,B. MEPHISTO DOM L'ECU RGE,enabled,,,1a4377dc-13e0-4345-ac98-4cdd368724a8,"B. LOIRE VDF ""Mephisto"" DOMAINE DE L'ECU RGE 75CL",enabled,increase
generic,SAUCISSON,SAUCISSON,enabled,,,,,,none
generic,TARTARE DE THON,TARTARE DE THON,enabled,,,,,,none
generic,S. GET 27,S. GET 27,disabled,,,93c807d9-ac65-4231-a012-d1df12e1f90b,S. GET 27 3CL,enabled,increase
generic,SUPP SIROP,SUPP SIROP,enabled,,,,,,none
generic,V. MARTINI ROUGE,V. MARTINI ROUGE,enabled,,,ae25288d-dd04-4905-af11-2d1b820884b5,V. MARTINI ROUGE,enabled,increase
generic,V. ZACAPA 23,V. ZACAPA 23,enabled,,,d2a806ab-e497-49cc-b46f-fcf498521e17,V. ZACAPA 23ANS,enabled,increase
generic,V. MINUTY RGE,V. MINUTY RGE,disabled,,,,,,none
generic,M. CAIRANNE RICHAUD RGE,M. CAIRANNE RICHAUD RGE,disabled,,,b7844147-fbe5-4b08-8b57-ed8e9d71d131,"M._ Cairanne_ ""Cairanne"", Domaine Richaud_RGE_150CL",enabled,increase
generic,PAVE DE THON,PAVE DE THON,disabled,,,,,,none
generic,SUPP FOIE GRAS,SUPP FOIE GRAS,disabled,,,,,,none
generic,B. CORTON RENARDES GRAND CRU RGE,B. CORTON RENARDES GRAND CRU RGE,disabled,,,fa4806c7-506d-45e7-8ecf-923845171597,B. BOURGOGNE CORTON-RENARDES GD CRU DOM. CAPITAIN GAGNEROT RGE 75CL,enabled,increase
generic,CAFE COMPTOIR EXPRESSO,CAFE COMPTOIR EXPRESSO,enabled,,,3758e5b0-77d7-4bb6-87e5-e997578a2393,CAFE ORMEAU,enabled,increase
generic,SALADE DE CHEVRE CHAUD,SALADE DE CHEVRE CHAUD,disabled,,,,,,none
generic,MAG. CHATEAUNEUF-DU-PAPE PART DES ANGES,MAG. CHATEAUNEUF-DU-PAPE PART DES ANGES,enabled,,,3a7a24d6-9431-48a9-90c4-27014a97959f,"M. RHONE CHATEAUNEUF-DU-PAPE ""La Part des Anges"" DOMAINE RAYMOND USSEGLIO & FILS RGE 150CL",enabled,increase
generic,V. Meursault,V. Meursault,enabled,,,,,,none
generic,V. VERMOUTH ROUGE,V. VERMOUTH ROUGE,enabled,,,ae25288d-dd04-4905-af11-2d1b820884b5,V. MARTINI ROUGE,enabled,increase
generic,CANNELLONI RICOTTA,CANNELLONI RICOTTA,disabled,,,,,,none
generic,V.  MAIONETTE COMPTOIR BLC,V.  MAIONETTE COMPTOIR BLC,disabled,,,39ac51ed-3c84-46fb-871a-4ceb2308a0a0,V. MAIONETTE COMPTOIR BLC,enabled,increase
generic,LOUP GRILLÉ,LOUP 1kg,disabled,,,,,,none
generic,MOSCOW MULE,MOSCOW MULE,enabled,,,6a73fe5c-ded1-4381-ab3d-397920d35d01,MOSCOW MULE ORMEAU,enabled,increase
generic,POTAGE DUBARRY,POTAGE DUBARRY,disabled,,,,,,none
generic,CHANDON GARDEN SPRITZ,CHANDON GARDEN SPRITZ,disabled,,,,,,none
generic,V. Pommard,V. Pommard,enabled,,,,,,none
generic,AMANDE,AMANDE,enabled,,,,,,none
generic,OEUF MAYO,OEUF MAYO,disabled,,,,,,none
generic,V. CUVEE DES GALETS,V. CUVEE DES GALETS,enabled,,,59962ded-1c4d-4a4a-8faa-9d8bf5d31a39,V. CUVEE DES GALETS ESTEZARGUES,enabled,increase
generic,P. TENTATIONS CLOS CIBONNE,P. TENTATIONS CLOS CIBONNE,enabled,,,131bfcc5-66e7-4460-ada1-67004a103eba,V. CAMPAUX CANISSONS BLC,enabled,increase
generic,B. DOM. MONT PEYROUX AUPILHAC RGE,B. DOM. MONT PEYROUX AUPILHAC RGE,disabled,,,8011a0ee-331a-4998-b811-5349c6fa4dff,"B. LANGUEDOC AOC ""Mont Peyroux Aupilhac"" DOM. DAUPILHAC RGE 75CL",enabled,increase
generic,VERRE CASTORUX ROUGE,VERRE CASTORUX ROUGE,disabled,,,,,,none
generic,DECA CAPPUCCINO,DECA CAPPUCCINO,enabled,,,6de1a941-fb00-4569-8a37-ec71822093d8,DK DOUBLE ORMEAU,enabled,increase
generic,B. CHATEAUNEUF DU PAPE CLOS D PAPES RGE,B. CHATEAUNEUF DU PAPE CLOS D PAPES RGE,disabled,,,e68014aa-6fe8-443d-af09-7a13aa296730,"B._Chateauneuf Du Pape_""Clos des Papes"", Domaine Paul Avril_RGE_75CL",enabled,increase
generic,POLO VERT XL,POLO VERT XL,disabled,,,,,,none
generic,POELEE DE GAMBAS,POELEE DE GAMBAS,disabled,,,,,,none
generic,P CAMPAUX,P CAMPAUX,enabled,,,131bfcc5-66e7-4460-ada1-67004a103eba,V. CAMPAUX CANISSONS BLC,enabled,increase
generic,PAMPLEMOUSSE,PAMPLEMOUSSE,disabled,,,,,,none
generic,SUP. ANANAS,SUP. ANANAS,disabled,,,c1e39b13-8319-404e-a7a2-0f0ea727e9a3,SUP. ANANAS,enabled,increase
generic,B. PINOT NOIR DOM JEAN CLAUDE RAMONET RG,B. PINOT NOIR DOM JEAN CLAUDE RAMONET RG,enabled,,,1a34fcf7-924c-4057-939a-39f97ce11780,B_Bourgogne_Domaine Jean-Claude Ramonet_RGE_75CL,enabled,increase
generic,macaron  framboise,macaron  framboise,disabled,,,,,,none
generic,TARTELETTE NOIX CARAMEL,TARTELETTE NOIX CARAMEL,enabled,,,,,,none
generic,V. LIQUEUR POIRE METTE,V. LIQUEUR POIRE METTE,disabled,,,ce492a7f-a982-4c32-a2bf-964e64e6090e,V. LIQUEUR POIRE METTE,disabled,increase
generic,1/2. LA RESERVE FAMILLE PERRIN RGE,1/2. LA RESERVE FAMILLE PERRIN RGE,enabled,,,0055919a-3029-44a3-b2ac-a4e4ae525606,"1/2. B. ""La Réserve"" FAMILLE PERRIN RGE 37,5CL",enabled,increase
generic,CREVETTES ROSES x 6,CREVETTES ROSES x 6,enabled,,,,,,none
generic,MARGARITA CLASE AZUL REP,MARGARITA CLASE AZUL REP,disabled,,,a93f1260-1235-40a4-bfcc-4491aa97dece,MARGARITA CLASE AZUL REP,enabled,increase
generic,V. PASTIS 12-12,V. PASTIS 12-12,disabled,,,0132d5fa-123b-44e2-9099-3f837043c284,V. PASTIS 12 12,enabled,increase
generic,VIRGIN BLOODY MARY,VIRGIN BLOODY MARY,disabled,,,d933fa35-d3c0-4868-b0ff-66872816d7ec,VIRGIN BLOODY MARY,enabled,increase
generic,B. CH. MINUTY PRESTIGE RGE,B. CH. MINUTY PRESTIGE RGE,disabled,,,93b92716-4dd3-484f-86c7-e9401edb40d0,"B. PROVENCE MINUTY ""PRESTIGE"" RGE 75CL",enabled,increase
generic,B. SAUMUR LES VARENNES DE MESTRE RGE,B. SAUMUR LES VARENNES DE MESTRE RGE,enabled,,,311ab94c-7376-49cc-9aa4-a0e281356f39,"B._ Saumur_ ""Les Varennes de Mestré"", Domaine de l'Ours Bleu_RGE_75CL",enabled,increase
generic,DESSERT DU JOUR,COUPE DE FRAISES,disabled,,,,,,none
